Player,Elo,Result,PredictedResult,ExpectedWinRate,Role,ActualScore,Performance Score
Honiex,2581,1-0,1-0,0.8991173716432768,White,1.0,0.10088262835672324
Aisen1011,2475,0-1,0-1,0.10513721035591964,White,0.0,-0.10513721035591964
Airquake,2824,1-0,1-0,0.8870357268841216,White,1.0,0.11296427311587842
miragha_yev,2815,1-0,1-0,0.8881842302218831,White,1.0,0.11181576977811691
klimkoj,2921,1-0,1-0,0.9155353267032756,White,1.0,0.08446467329672436
MaxLeto,2438,0-1,0-1,0.13015005092569085,White,0.0,-0.13015005092569085
NovakRatko,2423,0-1,0-1,0.13885906434295667,White,0.0,-0.13885906434295667
MITerryble,3038,1-0,1-0,0.9490338639240656,White,1.0,0.050966136075934365
KINGOF2SOAP,2459,0-1,0-1,0.11181576977811694,White,0.0,-0.11181576977811694
SHIVACalypso,2544,1-0,0-1,0.06827881429312657,White,1.0,0.9317211857068735
Aslanov_Umid,2651,1-0,1-0,0.8504903015468027,White,1.0,0.14950969845319728
Darko-Dimitrijevic,2282,1-0,0-1,0.1608246821473244,White,1.0,0.8391753178526756
cycygogne,2173,0-1,0-1,0.09090909090909091,White,0.0,-0.09090909090909091
Senn71,2201,1-0,1-0,0.10088262835672324,Black,0.0,-0.10088262835672324
GMSrinath,2847,0-1,0-1,0.8948627896440804,Black,1.0,0.10513721035591961
Road2GM3000,2466,1-0,1-0,0.11296427311587842,Black,0.0,-0.11296427311587842
Eliwood44,2455,1-0,1-0,0.11181576977811691,Black,0.0,-0.11181576977811691
Happy1712Drummer,2507,1-0,1-0,0.08446467329672436,Black,0.0,-0.08446467329672436
Elegance_Riks,2768,0-1,0-1,0.8698499490743091,Black,1.0,0.13015005092569087
KnightDuta,2740,0-1,0-1,0.8611409356570433,Black,1.0,0.1388590643429567
GameOverBro,2530,1-0,1-0,0.050966136075934365,Black,0.0,-0.050966136075934365
Onischuk_V,2819,0-1,0-1,0.8881842302218831,Black,1.0,0.11181576977811691
Shield12,2998,1-0,0-1,0.9317211857068735,Black,0.0,-0.9317211857068735
ClauSanLuis,2349,1-0,1-0,0.14950969845319728,Black,0.0,-0.14950969845319728
EgorYakovlev,2569,1-0,0-1,0.8391753178526756,Black,0.0,-0.8391753178526756
ChainedDowntohell,2573,0-1,0-1,0.9090909090909091,Black,1.0,0.09090909090909094
